,date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194
59,2014-02-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,2014-02-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,2014-03-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,2014-03-11,0.72120124,0.6770739,0.56054467,0.5539218,0.53930664,0.5240735,0.50506777,0.5009161,0.5391789,0.5478915,0.5139298,0.5417531,0.65119076,0.51587784,0.62952316,0.75010693,0.69776344,0.60219055,0.55629426,0.51369685,0.48451132,0.4860555,0.4944729,0.5262269,0.53270614,0.49085012,0.5077971,0.6372605,0.46046716,0.6609001,0.7558197,0.7455735,0.6092395,0.5395341,0.51002556,0.5275814,0.5339448,0.53155786,0.54301304,0.51994014,0.46732706,0.5460372,0.59254694,0.4752272,0.6379801,0.7415016,0.7563323,0.6174303,0.5195525,0.5217416,0.555888,0.5344349,0.5333299,0.5362274,0.5144202,0.49770826,0.5686756,0.5157419,0.480218,0.61546075,0.75517154,0.7587473,0.6579711,0.51883024,0.51643384,0.54322195,0.5379086,0.54522675,0.5300991,0.51347196,0.518531,0.55364794,0.44096145,0.50431085,0.5854302,0.76527125,0.77982384,0.69026005,0.57096595,0.55583483,0.5519116,0.5630301,0.5684684,0.5528801,0.52104646,0.5190176,0.51507723,0.36832902,0.57058424,0.60837495,0.77106714,,0.72644323,0.5830369,0.565588,0.59331083,0.59101635,0.58803844,0.57227147,0.53305054,0.52253324,0.47622052,0.35346264,0.5882479,0.6006247,0.7518404,0.76915133,0.72309613,0.5683615,0.5564006,0.5742127,0.5809962,0.5898738,0.5746405,0.53888965,0.5237526,0.41457668,0.33384997,0.5616899,0.59650683,0.725041,0.7693753,0.7211735,0.59714943,0.55694866,0.55934036,0.58293426,0.57496816,0.5450132,0.5195526,0.5119245,0.35516244,0.41229433,0.5654974,0.5876707,0.7150227,0.7571429,0.7017313,0.5856003,0.57525486,0.57677513,0.57520384,0.5546826,0.53928906,0.5454412,0.5494972,0.38804743,0.5521272,0.59523976,0.5907448,0.706259,0.72893155,0.66564333,0.5783129,0.5783026,0.5762078,0.57824224,0.5724648,0.57477665,0.6051705,0.5424598,0.45485985,0.5733036,0.59907347,0.5873284,0.653441,0.63807493,0.61637855,0.55327743,0.58943534,0.58149284,0.57869697,0.5623829,0.58584243,0.63142496,0.6330472,0.57272625,0.60605174,0.58621275,0.5792855,0.5547679,0.5099275,0.54159653,0.5486284,0.5930067,0.5783899,0.5372316,0.54537296,0.5493824,0.63948995,0.5720144,0.5868298,0.5879907,0.56929916,0.56854457
63,2014-03-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,2014-03-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,2014-04-01,0.7671722,0.7122452,0.6053159,0.6067944,0.6149082,0.5948671,0.5451895,0.5506788,0.58107054,0.5511619,0.521998,0.537479,0.53159076,0.5330685,0.6837299,0.7640165,0.7378071,0.6531149,0.603467,0.5917395,0.5551744,0.5444251,0.5313494,0.57365096,0.55295527,0.51848316,0.52241486,0.52366775,0.5938436,0.6226415,0.76606554,0.7627016,0.66360587,0.59142727,0.59348845,0.5861364,0.5813696,0.5606327,0.57525134,0.547751,0.522508,0.5679025,0.5793737,0.5581878,0.6058354,0.7723578,0.76870126,0.6571415,0.57391953,0.58205837,0.6222072,0.6118787,0.5871085,0.58355325,0.574284,0.564681,0.5790291,0.60970455,0.48965403,0.6222192,0.7910355,0.789136,0.7060096,0.5391189,0.57941395,0.6106025,0.5919793,0.5557303,0.55070245,0.5437174,0.5715223,0.5694773,0.5476198,0.47392395,0.613073,0.79185873,0.78778845,0.70678073,0.57074726,0.57512593,0.5683065,0.5807824,0.58553845,0.5818521,0.5511673,0.5478304,0.4930651,0.46141487,0.4950844,0.61333114,0.79520893,0.80451953,0.74311477,0.62600243,0.578803,0.59740967,0.59505725,0.5974116,0.57397985,0.54583865,0.5524852,0.54721457,0.46588677,0.5551019,0.60381556,0.7660157,0.76558244,0.70892113,0.5991661,0.5766571,0.599679,0.6070829,0.6098265,0.5830956,0.551533,0.5281457,0.526727,0.41092247,0.54113775,0.5583293,0.7307764,0.75349844,0.71209764,0.5980452,0.5644858,0.5779649,0.5971644,0.60575914,0.56186837,0.5529506,0.54553044,0.48820892,0.40622187,0.52902794,0.5378621,0.70194405,0.7105084,0.6716021,0.5826505,0.59707385,0.6107016,0.6234335,0.59577024,0.5528609,0.5779121,0.56106365,0.4478715,0.46251747,0.5474602,0.53496194,0.683685,0.69684184,0.64910483,0.5897286,0.5825338,0.5884546,0.5831865,0.5833678,0.5740197,0.63766766,0.5930534,0.47370481,0.53477675,0.5585554,0.53784275,0.6295678,0.628283,0.58794,0.57459843,0.5977676,0.60334253,0.5878007,0.5854647,0.61520094,0.65445,0.61969745,0.5282753,0.54510915,0.55814916,0.53400654,0.5553989,0.5364409,0.522815,0.57506424,0.5947499,0.5713788,0.57026494,0.56749755,0.6277577,0.6303696,0.58572996,0.54945946,0.55852985,0.5412246,0.523895
66,2014-04-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,2014-04-15,0.814478,0.7578857,0.7549823,0.7840422,0.79620355,0.7710878,0.7112116,0.7278149,0.76713926,0.7343527,0.6869234,0.68080556,0.6749434,,0.7415135,0.80528283,0.784837,0.782959,0.79761845,0.77516204,0.7218837,0.70860493,0.6921205,0.76198685,0.73408055,0.6689127,0.6780808,0.69356,0.6540627,0.71357286,0.8018304,0.79214495,0.7667608,0.77217764,0.7717929,0.7625057,0.7639949,0.7550525,0.7637682,0.7346699,0.660155,0.71284926,0.7079737,0.61557126,0.69092065,0.7938197,0.78697765,0.76555187,0.73370755,0.77568495,0.80554885,0.79652536,0.7897127,0.77314246,0.72821,0.6878134,0.73073643,0.69497025,0.551393,0.6904994,0.8048413,0.80384755,0.7647403,0.7125206,0.7403498,0.7717816,0.7803427,0.77014905,0.754095,0.7341841,0.7316207,0.710448,0.64488727,0.58501685,0.70206356,0.8033666,0.8055572,0.7710741,0.7513403,0.76342726,0.78224444,0.78545636,0.774397,0.74556607,0.72109234,0.7307823,0.68051165,0.58025366,0.6385077,0.7085597,0.79748696,0.8011538,0.78440064,0.7715596,0.7814468,0.7914536,0.79038477,0.78301567,0.76894027,0.74939424,0.71073824,0.6566459,0.52694726,0.7149031,0.6965298,0.78546786,0.8025814,0.77549285,0.77443177,0.76384354,0.7802915,0.7902736,0.7819318,0.7675528,0.74111885,0.6865913,0.6283076,0.50130266,0.7020707,0.69422644,0.77885497,0.7933468,0.7612426,0.7752902,0.7648559,0.77316666,0.7786108,0.7662795,0.73648286,0.7142255,0.68091893,0.54059786,0.48556674,0.6885504,0.700438,0.77528924,0.769161,0.7658765,0.7774762,0.7817427,0.7712021,0.7622853,0.74922276,0.6929307,0.7268761,0.69086903,0.50157374,0.5808934,0.7130969,0.71406657,0.76869154,0.77189076,0.7670701,0.7826973,0.7872212,0.775188,0.7585853,0.7464198,0.73605376,0.7865191,0.7477361,0.6197072,0.7074359,0.71826607,0.7092512,0.72466505,0.72605175,0.73045427,0.77123284,0.7697418,0.76611996,0.7606519,0.7677186,0.781576,0.7855871,0.71920884,0.6955037,0.7163021,0.6825496,0.7012746,0.7020887,0.6928747,0.7120698,0.7486662,0.77012646,0.76320386,0.75719625,0.75068027,0.7766877,0.76447123,0.7193485,0.7076763,0.68589985,0.6726738,0.6830987
68,2014-04-22,0.16232315,0.22439848,0.3065451,0.4759374,0.26385564,0.12792416,,,,,,,0.14413074,0.117515214,0.115673125,0.24538073,0.36109355,0.34568173,0.2733259,0.21250406,,,,,,,,,,,0.27620354,0.3461086,0.32570973,0.25753522,0.25926292,0.1501533,,,,,,,,,,0.44076625,0.46466297,0.4017209,0.33000794,0.3767139,0.29882634,0.15138638,,,,,,,,,0.8960382,0.9291572,0.45308456,0.2831992,0.29386732,0.3322031,0.19031984,0.1541004,0.11202757,,,,,,,0.66248906,0.44651937,0.32745662,0.22744201,0.28843644,0.31575248,0.17243592,0.108659975,,,,,,,,0.33678368,0.24517047,0.21245477,0.14125164,0.23075491,0.3734248,0.24466406,0.19087918,0.13824262,0.106892034,,,,,,0.27492988,0.15435578,0.10680173,0.11660015,0.18627803,0.30319634,0.3126451,0.22910775,0.1885629,0.14904708,,,,,,0.121373124,0.08322344,0.097606815,0.13366167,0.2194549,0.29534802,0.21987881,0.10567518,0.09653066,0.09497173,,,,,,0.1163312,0.10186908,0.15535015,0.18781084,0.3349102,0.28261855,0.13247295,,,,,,,,,0.14045969,0.12871508,0.17593174,0.32903883,0.32149476,0.13719776,,,,,,,,,,0.21460105,0.22462729,0.23247662,0.34308913,0.15003355,,,,,,,,,,,0.3345046,0.35999247,0.24452564,0.23126093,,,,,,,,,,,
69,2014-04-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,2014-05-06,0.7285196,0.6892041,0.71421087,0.7429503,0.7657175,0.7707463,0.76943004,0.7741735,0.77518034,0.7650933,0.7555939,0.72913754,0.7145961,0.6323424,0.6589028,0.71802723,0.6947031,0.7191164,0.7539023,0.761411,0.7581212,0.75599474,0.7516264,0.7567871,0.7538105,0.740573,0.7230386,0.7094688,0.58971816,0.68664145,0.7140212,0.7005231,0.72225827,0.7489721,0.76469415,0.768576,0.77171123,0.7582025,0.7582891,0.7606554,0.7467221,0.731976,0.70270085,0.58718204,0.6737625,0.7016515,0.6930984,0.70843977,0.7268,0.76133835,0.7778225,0.76900136,0.76056117,0.7622098,0.75798947,0.7579579,0.7330689,0.6704134,0.60600525,0.6770734,0.71251255,0.70022035,0.7061608,0.72412187,0.7572531,0.7732144,0.7725912,0.764176,0.7591163,0.7516622,0.7575765,0.7232404,0.6383706,0.6392388,0.69015014,0.7129899,0.7051216,0.70330125,0.743811,0.76521903,0.76536065,0.7710071,0.7631885,0.7634328,0.7606439,0.7612424,0.70226234,0.60743695,0.655271,0.6734754,0.71351,0.7138105,0.7111768,0.7485801,0.77104783,0.762718,0.770054,0.7605129,0.76843,0.77177924,0.7588053,0.6693716,0.5938891,0.6522993,0.6697863,0.708906,0.712085,0.719537,0.7481053,0.77046865,0.7671975,0.7694394,0.75853664,0.76281834,0.76660126,0.7432597,0.6198927,0.5993929,0.6629813,0.68214,0.71215624,0.70525205,0.7132555,0.7511815,0.7710339,0.7709282,0.7653855,0.75923103,0.76080495,0.75035733,0.7178417,0.56078905,0.62825763,0.6709949,0.6867377,0.7172747,0.69934624,0.7162683,0.75694966,0.77140456,0.77283543,0.7819983,0.7686684,0.76483244,0.75118774,0.7353812,0.57687014,0.64955443,0.66584903,0.69117886,0.71979815,0.7137635,0.7254335,0.7619245,0.7690025,0.76340216,0.75950074,0.757977,0.7699477,0.7712604,0.74548036,0.6654917,0.6777389,0.69229233,0.71593547,0.7158264,0.73606306,0.74807715,0.76847655,0.7688651,0.7635611,0.7609238,0.76372355,0.7716514,0.76696444,0.74683166,0.7244644,0.7228294,0.7299267,0.74336046,0.75601816,0.77938145,0.76466155,0.76808196,0.7642396,0.766472,0.7697152,0.759786,0.75926673,0.7582882,0.74418163,0.770878,0.77288294,0.7731051,0.772238
71,2014-05-13,0.85641515,0.8639222,0.8977628,0.89997566,0.8981817,0.89895314,,0.89183915,0.89896184,0.8974572,0.89507574,0.89501166,0.86536807,0.6599757,0.8086299,0.84551,0.85113364,0.89474887,0.900025,0.8988947,0.8931877,,0.8902274,0.89359385,0.89324564,0.8885127,0.89352715,0.8582574,0.6198555,0.8473346,0.8375639,0.84350646,0.88808125,0.90185314,0.8988755,0.8965015,0.8967924,0.8974453,0.89739424,0.89155775,0.8914452,0.9005441,0.83038807,0.66615397,0.8318642,0.8439889,0.84594285,0.87886804,0.897942,0.8970841,0.90214974,0.8973921,0.899557,0.9001685,0.8923218,0.89958036,0.9080319,0.7564091,,0.84636813,0.85210025,0.8487275,0.87492865,0.89710087,0.89748627,0.89916295,0.8991638,0.8991199,0.89525586,0.89314693,0.90705836,0.9012916,0.76349217,,0.8913391,0.84216833,0.8440735,0.86691207,0.90382785,0.90404713,0.90044767,0.8986911,0.8956317,0.8928755,0.8912264,0.904293,0.8581752,0.76059824,,0.8952616,0.834709,0.8436405,0.85767907,0.90199196,0.90626293,0.9004841,0.8995346,0.898415,0.89616,0.89636534,0.8843492,0.7891136,0.7426485,,0.90244824,0.8308593,0.82632524,0.85607463,0.8916244,0.8996425,0.897899,0.8979831,0.898811,0.8959732,0.89446324,0.84694767,0.7029152,,0.89477205,0.90450835,0.83050364,0.8354452,0.8579878,0.88982385,0.8987008,0.8958494,0.8944281,0.8980665,0.898058,0.8808566,0.8117187,0.6214126,,0.903498,0.90302706,0.84660685,0.83815986,0.8474324,0.8923882,0.8955352,0.89606726,0.8956808,0.89726996,0.8915711,0.8691721,0.80393976,0.63701075,,0.90070236,0.9030857,0.84305793,0.83837664,0.8479463,0.89390135,0.9018241,0.8974108,0.8965078,0.9013785,0.89771044,0.88217366,0.8522256,0.81250316,0.8752433,0.9043043,0.9069701,0.8180838,0.8504092,0.86359656,0.8970454,0.90393674,0.89924043,0.90044296,0.90650576,0.9008128,0.8780181,0.8650857,0.88114154,0.89528817,0.90295416,0.9059607,0.89109373,0.90089417,0.89445925,0.89437205,0.89962745,0.903303,0.90469706,0.9020244,0.88272387,0.88013154,0.87216127,0.8968048,0.90082955,0.9021452,0.90336573
72,2014-05-20,0.85641515,0.8639222,0.8977628,0.89997566,0.8981817,0.89895314,0.8934727,0.89183915,0.89896184,0.8974572,0.89507574,0.89501166,0.86536807,0.6599757,0.8086299,0.84551,0.85113364,0.89474887,0.900025,0.8988947,0.8931877,0.891253,0.8902274,0.89359385,0.89324564,0.8885127,0.89352715,0.8582574,0.6198555,0.8473346,0.8375639,0.84350646,0.88808125,0.90185314,0.8988755,0.8965015,0.8967924,0.8974453,0.89739424,0.89155775,0.8914452,0.9005441,0.83038807,0.66615397,0.8318642,0.8439889,0.84594285,0.87886804,0.897942,0.8970841,0.90214974,0.8973921,0.899557,0.9001685,0.8923218,0.89958036,0.9080319,0.7564091,0.7262749,0.84636813,0.85210025,0.8487275,0.87492865,0.89710087,0.89748627,0.89916295,0.8991638,0.8991199,0.89525586,0.89314693,0.90705836,0.9012916,0.76349217,,0.8913391,0.84216833,0.8440735,0.86691207,0.90382785,0.90404713,0.90044767,0.8986911,0.8956317,0.8928755,0.8912264,0.904293,0.8581752,0.76059824,,0.8952616,0.834709,0.8436405,0.85767907,0.90199196,0.90626293,0.9004841,0.8995346,0.898415,0.89616,0.89636534,0.8843492,0.7891136,0.7426485,0.8803104,0.90244824,0.8308593,0.82632524,0.85607463,0.8916244,0.8996425,0.897899,0.8979831,0.898811,0.8959732,0.89446324,0.84694767,0.7029152,,0.89477205,0.90450835,0.83050364,0.8354452,0.8579878,0.88982385,0.8987008,0.8958494,0.8944281,0.8980665,0.898058,0.8808566,0.8117187,0.6214126,,0.903498,0.90302706,0.84660685,0.83815986,0.8474324,0.8923882,0.8955352,0.89606726,0.8956808,0.89726996,0.8915711,0.8691721,0.80393976,0.63701075,0.8474345,0.90070236,0.9030857,0.84305793,0.83837664,0.8479463,0.89390135,0.9018241,0.8974108,0.8965078,0.9013785,0.89771044,0.88217366,0.8522256,0.81250316,0.8752433,0.9043043,0.9069701,0.8180838,0.8504092,0.86359656,0.8970454,0.90393674,0.89924043,0.90044296,0.90650576,0.9008128,0.8780181,0.8650857,0.88114154,0.89528817,0.90295416,0.9059607,0.89109373,0.90089417,0.89445925,0.89437205,0.89962745,0.903303,0.90469706,0.9020244,0.88272387,0.88013154,0.87216127,0.8968048,0.90082955,0.9021452,0.90336573
73,2014-05-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,2014-06-03,0.8251311,0.8262983,0.89683104,0.89721483,0.89936626,0.89977884,0.89713037,0.898102,0.89939684,0.9000576,0.899615,0.90098155,0.82388276,0.6517077,0.83488375,0.78314286,0.8136426,0.875593,0.89841026,0.8994724,0.89680094,0.8958427,0.895823,0.89882696,0.898039,0.894733,0.89565396,0.74564064,0.70910335,0.82635117,0.78590494,0.81730896,0.86786854,0.89878786,0.8986699,0.89835674,0.8962824,0.8967225,0.9011334,0.89932287,0.89439064,0.8975866,0.7219147,0.74702495,0.7894125,0.8269571,0.82489806,0.8721935,0.8958237,0.89886564,0.89744276,0.8957957,0.89708316,0.8993241,0.8974487,0.89969957,0.89260423,0.77872705,0.69252825,0.8103585,0.8298215,0.826838,0.85277224,0.8968846,0.8981996,0.90063107,0.8997133,0.90167534,0.90038526,0.9003109,0.9042813,0.8877065,0.8004561,0.7114172,0.86710095,0.79651964,0.82254833,0.84470516,0.8956997,0.9038706,0.90054977,0.8976864,0.8967435,0.89642656,0.89979255,0.8928445,0.8592064,0.7800259,0.79479337,0.891591,0.7720737,0.7976074,0.84210885,0.8915996,0.9025874,0.89914143,0.8978754,0.89642614,0.8963842,0.90133595,0.865626,0.8303617,0.69280255,0.8291372,0.8952304,0.7633185,0.7879885,0.8272734,0.8923037,0.8991748,0.8977881,0.8965866,0.89765465,0.90128005,0.89932084,0.8529446,0.80401486,0.6413515,0.885455,0.90314686,0.770883,0.79219496,0.81756335,0.89895934,0.89698976,0.8950613,0.89925,0.9019774,0.903891,0.8813556,0.83563745,0.7233809,0.6315659,0.9042045,0.9045879,0.7683321,0.796016,0.82853657,0.893097,0.8986685,0.896904,0.8994263,0.90204257,0.90053344,0.8742714,0.83524394,0.6877972,0.7436024,0.90926445,0.90819925,0.7697763,0.8042189,0.8426815,0.8940164,0.9025753,0.90045995,0.9026884,0.90628207,0.8987023,0.88143843,0.85854775,0.84699166,0.8971624,0.9111245,0.90841055,0.8004174,0.8484489,0.8739782,0.89684033,0.90347606,0.90285677,0.9040687,0.9069627,0.9026282,0.87809116,0.8757428,0.8945932,0.9028915,0.91095823,0.90756875,0.8880717,0.90112823,0.8928294,0.9005696,0.9025492,0.9040149,0.90634274,0.90501994,0.88240623,0.8854028,0.8823234,0.89203596,0.904637,0.9071737,0.90736425
75,2014-06-10,0.7615133,0.8079682,0.8839978,0.88867104,0.8888465,0.8884092,0.88345546,0.8884402,0.89091057,0.8901291,0.8868495,0.88832635,0.8453172,0.53972393,0.79033506,0.7296813,0.75907296,0.8709118,0.886711,0.8902469,0.8880169,0.88384384,0.88541573,0.88670254,0.88941324,0.88706446,0.88357997,0.7780601,0.5753047,0.78921175,0.72802174,0.78541493,0.8601504,0.8899772,0.89026225,0.8913603,0.88861597,0.8915491,0.8926777,0.88867605,0.88424927,0.8795854,0.6888901,0.6564794,0.7403277,0.7759447,0.79626846,0.8536449,0.89093214,0.8905851,0.89071995,0.89088875,0.89153284,0.89203036,0.88718253,0.8862796,0.88258094,0.6515283,0.70948344,0.7893239,0.75539845,0.7825397,0.8408004,0.89526993,0.8893779,0.89361584,0.8927679,0.8944381,0.8905682,0.8890666,0.89403105,0.8758181,0.71632165,0.76641244,0.8731892,0.72852,0.787197,0.8139606,0.8934773,0.8967994,0.89457184,0.8929538,0.8883935,0.8874351,0.8911446,0.87805516,0.8342993,0.7606223,0.8147623,0.8830153,0.6735257,0.7370092,0.8083099,0.88652825,0.8946756,0.8917951,0.8895486,0.8888864,0.88793683,0.89342844,0.8487195,0.791342,0.72414666,0.8252114,0.8839026,0.6733653,0.71945196,0.79397917,0.8874517,0.8922612,0.89104223,0.8899817,0.89094573,0.8910242,0.896533,0.80980223,0.76786315,0.6593819,0.87475795,0.8887428,0.7048724,0.7296703,0.77798945,0.8912176,0.8948741,0.8898245,0.89001757,0.8909781,0.8950323,0.88065827,0.78818697,0.71093005,0.6561008,0.8921041,0.89098537,0.70429116,0.7317335,0.7920609,0.88882864,0.89314544,0.88872486,0.88878393,0.89255345,0.8925705,0.8645719,0.811158,0.7309188,0.78175664,0.90340805,0.8922858,0.73175687,0.75411165,0.8120627,0.88640946,0.89498913,0.8906522,0.8919746,0.8962729,0.89222115,0.8642964,0.8493814,0.83979374,0.889936,0.9006135,0.8900728,0.7790796,0.83582795,0.85361093,0.89235026,0.8934082,0.8928893,0.8951542,0.89666027,0.8974139,0.8632366,0.86384565,0.8916738,0.89277905,0.8929271,0.8894835,0.88664794,0.8916736,0.8883527,0.8937778,0.89424807,0.8971856,0.89941186,0.8989182,0.88522637,0.8776392,0.8749068,0.8848076,0.8848212,0.88624644,0.89143074
76,2014-06-17,0.7618211,0.7578979,0.85651064,0.8642529,0.8188198,0.82570773,0.7974313,0.78294295,0.7768252,0.78508276,0.7679424,0.7386632,0.7064193,0.6266707,0.6263148,0.7195442,0.74556696,0.8179061,0.85697913,0.8127781,0.76820076,0.78523004,0.78464735,0.7593528,0.7958473,0.81008214,0.79954755,0.6986923,0.66588753,0.6974227,0.7290109,0.7483733,0.8188035,0.83156466,0.8061928,0.7766992,0.7797299,0.79521686,0.79346335,0.8265546,0.8393618,0.84256876,0.7268793,0.6721905,0.7117171,0.7673481,0.7561599,0.82193094,0.8142514,0.8114389,0.824255,0.824015,0.82653403,0.83933944,0.8511865,0.8482046,0.8424473,0.75521296,0.61229205,0.73300135,0.75622153,0.758152,0.78973234,0.8285601,0.8168447,0.8500907,0.86443764,0.8609757,0.8687218,0.87558585,0.8767342,0.8546553,0.7627261,0.6910491,0.8215988,0.7274495,0.7553884,0.79093635,0.8540754,0.8638381,0.8662287,0.87003547,0.8663173,0.8709631,0.87583923,0.8750926,0.8409653,0.7480081,0.7838756,0.8722567,0.67747146,0.73004925,0.7957679,0.86858565,0.8793594,0.8708303,0.8655056,0.8604432,0.8645118,0.8701782,0.8517725,0.81591415,0.6974972,0.8121642,0.86689186,0.682977,0.7188027,0.780306,0.87629163,0.8834984,0.8774079,0.875981,0.87366956,0.8746703,0.8759707,0.8427967,0.76808375,0.6395872,0.84732896,0.8686566,0.7028816,0.73514295,0.7729098,0.87800336,0.87996876,0.87529105,0.87675375,0.8761446,0.87768275,0.86485726,0.8143322,0.68867195,0.66170675,0.8649213,0.8694581,0.7079295,0.73531294,0.79424644,0.86850893,0.8756328,0.8695429,0.8775243,0.87391627,0.87262833,0.8528821,0.81773144,0.6998396,0.76407176,0.8713994,0.8685774,0.7193245,0.7414548,0.80984163,0.8691706,0.8760936,0.87406754,0.8787014,0.875672,0.86799955,0.8396396,0.8226603,0.8140146,0.8518738,0.8641499,0.8556877,0.7598422,0.8215707,0.84330994,0.8817433,0.8829741,0.8793312,0.87963784,0.8814891,0.8610243,0.8384965,0.8424597,0.8621863,0.859005,0.8594423,0.85316265,0.86838233,0.87594086,0.87318593,0.882648,0.88118786,0.88190883,0.88216174,0.8791877,0.8621941,0.8637659,0.8486277,0.85490865,0.8577461,0.8590851,0.86061084
