,date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119
165,2016-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,2016-03-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,2016-03-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,2016-03-22,0.44974393,0.43125406,0.4166545,0.4281153,0.42900646,0.44166675,0.47631204,0.45421085,0.420404,0.41970068,0.43374777,0.4452087,0.4196603,0.41443378,0.4307758,0.42653802,0.43640858,0.43458185,0.42473257,0.3954257,0.4108443,0.4278284,0.42440367,0.4321077,0.43480575,0.4255872,0.42089307,0.436688,0.44254518,0.402707,0.4243016,0.4256464,0.4182685,0.43866393,0.43704948,0.42468512,0.4213707,0.42861184,0.4418595,0.4436057,0.44554818,0.3920451,0.40575904,0.42854849,0.41205427,0.44666415,0.41180664,0.41075718,0.43152115,0.43632135,0.44095343,0.440996,0.42645165,0.3965333,0.41403827,0.4175872,0.42081028,0.42496505,0.40390894,0.40169248,0.44827932,0.44570574,0.44266477,0.4375618,0.41905963,0.40994632,0.40797335,0.40224293,0.41991588,0.4107945,0.39670646,0.41092798,0.4553084,0.44770136,0.43437296,0.4417611,0.42662108,0.41123497,0.39641398,0.40333298,0.41200373,0.41298744,0.42526808,0.4189748,0.45012194,0.43354577,0.43329656,0.43591607,0.42094144,0.415052,0.40722173,0.40755284,0.41205987,0.42184818,0.42710605,0.418874,0.43820804,0.42051467,0.41642562,0.41672358,0.4177187,0.40565234,0.39817715,0.40118867,0.41308716,0.41486397,0.4210381,0.4210381,0.42842284,0.40525165,0.4171234,0.42070195,0.4173807,0.40470138,0.39652902,0.40044698,0.4074162,0.40440735,0.41380653,0.41380653
169,2016-03-29,0.44974393,0.43125406,0.4166545,0.4281153,0.42900646,0.44166675,0.47631204,0.45421085,0.420404,0.41970068,0.43374777,0.4452087,0.4196603,0.41443378,0.4307758,0.42653802,0.43640858,0.43458185,0.42473257,0.3954257,0.4108443,0.4278284,0.42440367,0.4321077,0.43480575,0.4255872,0.42089307,0.436688,0.44254518,0.402707,0.4243016,0.4256464,0.4182685,0.43866393,0.43704948,0.42468512,0.4213707,0.42861184,0.4418595,0.4436057,0.44554818,0.3920451,0.40575904,0.42854849,0.41205427,0.44666415,0.41180664,0.41075718,0.43152115,0.43632135,0.44095343,0.440996,0.42645165,0.3965333,0.41403827,0.4175872,0.42081028,0.42496505,0.40390894,0.40169248,0.44827932,0.44570574,0.44266477,0.4375618,0.41905963,0.40994632,0.40797335,0.40224293,0.41991588,0.4107945,0.39670646,0.41092798,0.4553084,0.44770136,0.43437296,0.4417611,0.42662108,0.41123497,0.39641398,0.40333298,0.41200373,0.41298744,0.42526808,0.4189748,0.45012194,0.43354577,0.43329656,0.43591607,0.42094144,0.415052,0.40722173,0.40755284,0.41205987,0.42184818,0.42710605,0.418874,0.43820804,0.42051467,0.41642562,0.41672358,0.4177187,0.40565234,0.39817715,0.40118867,0.41308716,0.41486397,0.4210381,0.4210381,0.42842284,0.40525165,0.4171234,0.42070195,0.4173807,0.40470138,0.39652902,0.40044698,0.4074162,0.40440735,0.41380653,0.41380653
170,2016-04-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,2016-04-12,0.46599898,0.47427058,0.49146765,0.528292,0.56619614,0.5803844,0.59720594,0.60580564,0.5702818,0.58100224,0.60318035,0.61020476,0.45040587,0.462182,0.49703348,0.5221733,0.5629945,0.565696,0.5584628,0.5563994,0.56359047,0.58049285,0.57828027,0.5805126,0.46113682,0.46591628,0.4895648,0.5171482,0.54541683,0.5365854,0.5423129,0.55315936,0.5621222,0.55886394,0.55699784,0.558374,0.4759389,0.48320508,0.48553362,0.50376666,0.5147001,0.5073204,0.51137316,0.54126316,0.55022746,0.5429088,0.53816175,0.58735013,0.50391203,0.49918345,0.49236986,0.49954584,0.49730438,0.47221637,0.4720391,0.49584815,0.51016533,0.50360346,0.5309134,0.5898431,0.5211018,0.5121268,0.49806654,0.47735614,0.47445005,0.45340616,0.44214714,0.44487658,0.47624153,0.49905854,0.5224113,0.5629211,0.50749713,0.5064287,0.4878458,0.4678404,0.45357206,0.4611897,0.44872728,0.46823612,0.49054348,0.49851546,0.50928223,0.52361196,0.48326245,0.4880855,0.50054497,0.47884393,0.4936246,0.4935131,0.4964436,0.50745934,0.5096476,0.51596147,0.49590287,0.50056833,0.47818336,0.4760485,0.4658367,0.47253183,0.50308067,0.51156735,0.502599,0.50726205,0.50868833,0.5018708,0.4956368,0.4956368,0.48490068,0.4836945,0.47633985,0.47818264,0.5017667,0.51026976,0.49574333,0.4990384,0.5009458,0.4938982,0.4921949,0.4921949
172,2016-04-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,2016-04-26,0.645474,0.6303271,0.6076456,0.6032149,0.59377277,0.61593854,0.65400976,0.68445647,0.6168551,0.6102453,0.60053724,0.6356753,0.6140455,0.578106,0.5715682,0.57521844,0.5765662,0.58068216,0.5808665,0.56664926,0.58198136,0.5989251,0.5877578,0.63482624,0.6406785,0.6168633,0.606028,0.5940641,0.5684821,0.5423734,0.53294224,0.564335,0.570665,0.5864038,0.59445775,0.63879436,0.6573373,0.68492436,0.6484892,0.6097224,0.55713594,0.5095426,0.51290864,0.53908306,0.56211096,0.57326746,0.5532876,0.61913264,0.6892005,0.7793312,0.69045067,0.6229899,0.5381821,0.49280518,0.49945766,0.53007567,0.56793386,0.57783467,0.56062883,0.59356344,0.6814073,0.71498704,0.6457962,0.5522838,0.4886087,0.48642832,0.492635,0.52800196,0.5728952,0.5802645,0.56097484,0.5798439,0.66689914,0.6611862,0.59832275,0.51323134,0.49416006,0.542182,0.52148706,0.52640754,0.5785108,0.5940068,0.57896537,0.5704253,0.65458685,0.6174987,0.6004697,0.5694441,0.6113459,0.6015094,0.5896243,0.586532,0.60457385,0.61726636,0.6210244,0.59512347,0.6536062,0.61861783,0.6169194,0.6156506,0.6074407,0.6055782,0.6009555,0.5998398,0.6212792,0.647031,0.686407,0.686407,0.60533464,0.6033368,0.5969339,0.5921087,0.5910735,0.58682585,0.5900702,0.5891616,0.6235923,0.6727337,0.7645493,0.7645493
174,2016-05-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,2016-05-10,0.8607231,0.85417044,0.8419776,0.86784446,0.86685634,0.87170297,0.89493775,0.8710789,0.82030326,0.8463646,0.8770253,0.8857425,0.8421195,0.84018147,0.8612282,0.8664829,0.85427433,0.8472386,0.79136604,0.76560915,0.78983635,0.8643903,0.8705623,0.8805503,0.85133344,0.8464209,0.8667456,0.86296916,0.8269871,0.7589643,0.7596305,0.80710775,0.822887,0.8546376,0.8768536,0.8756427,0.85357916,0.8660053,0.85739064,0.85371363,0.8097433,0.66431606,0.6739946,0.7911446,0.83966565,0.85131633,0.8452519,0.8767173,0.8606937,0.86975783,0.86530334,0.8392114,0.74573475,0.6148956,0.62294656,0.7571832,0.85167265,0.8646181,0.85275984,0.8650911,0.8763294,0.87271786,0.83721566,0.70800155,0.6447201,0.63685304,0.6320798,0.7282301,0.8450578,0.8719722,0.8676406,0.8766483,0.8794906,0.879362,0.78011787,0.62800217,0.64383936,0.7539333,0.6975014,0.7532638,0.8581487,0.87850296,0.8755967,0.881617,0.8791751,0.8752162,0.8442712,0.79628235,0.86885875,0.8814169,0.869687,0.8705036,0.88372725,0.8842599,0.88090295,0.8782589,0.87967265,0.88219917,0.8862184,0.88318527,0.8779081,0.88608116,0.88407034,0.8861574,0.8826,0.88164395,0.8788575,0.8788575,0.8616274,0.8779097,0.8854148,0.88318634,0.8754885,0.88267124,0.8854633,0.88671726,0.8744302,0.8794086,0.8813928,0.8813928
176,2016-05-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,2016-05-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,2016-05-31,0.8439284,0.8443177,0.83165145,0.8493415,0.8539936,0.8601917,0.8599017,0.84962827,0.7906147,0.80484796,0.82318336,0.826709,0.80417234,0.8165286,0.8434707,0.8540108,0.8463855,0.8330729,0.79035497,0.7245581,0.7777512,0.8266819,0.83206874,0.82609665,0.8445397,0.8443404,0.8559446,0.8611346,0.8177266,0.7390824,0.7305009,0.80200523,0.7991952,0.81976277,0.8420264,0.829891,0.8366798,0.85022485,0.84320873,0.8439851,0.7909264,0.6775463,0.69061923,0.7772455,0.8048372,0.8104852,0.81272334,0.838169,0.84569097,0.8596394,0.8371904,0.81501323,0.69087374,0.6257884,0.6080834,0.7358631,0.8115946,0.8069777,0.8025822,0.8294617,0.8587648,0.8680259,0.82356584,0.68569493,0.59027976,0.60371405,0.6016979,0.68532157,0.80850273,0.82553166,0.8187542,0.83227813,0.8654465,0.8680531,0.7906163,0.6156589,0.607818,0.73065734,0.68189424,0.70325327,0.80911744,0.84772354,0.8391784,0.8488373,0.8619539,0.8607617,0.8229853,0.7480936,0.84769934,0.8419194,0.8375698,0.8498317,0.8538866,0.8511811,0.8450093,0.8524292,0.8658197,0.86867946,0.8651875,0.86165124,0.8519238,0.8579824,0.8632736,0.8698194,0.85992855,0.85137284,0.84556663,0.84556663,0.84198314,0.8482184,0.8599254,0.8610689,0.8524525,0.85460204,0.8647749,0.86374545,0.85385567,0.8517749,0.85528857,0.85528857
179,2016-06-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,2016-06-14,0.8854528,0.8784191,0.8521196,0.8812069,0.8773066,0.8900309,0.90075374,0.8829534,0.8518186,0.85114264,0.8977972,0.9114513,0.8396499,0.841069,0.8838142,0.87875724,0.87939036,0.84768826,0.81654495,0.7634649,0.8135851,0.8762844,0.89241236,0.9028262,0.877183,0.87810796,0.8832514,0.8826465,0.869471,0.713092,0.76503175,0.8125805,0.8427718,0.87499005,0.8988694,0.8937925,0.8766072,0.8841417,0.87603724,0.86127317,0.843871,0.65699977,0.7136607,0.8220587,0.85423064,0.8598569,0.8649083,0.8940373,0.88428104,0.8913232,0.8792498,0.8393712,0.7804636,0.65301317,0.662169,0.7650663,0.8477001,0.87499076,0.86549973,0.8899073,0.89321035,0.90187794,0.8426834,0.715047,0.660232,0.63179797,0.6065112,0.6660595,0.86703736,0.8924739,0.8881035,0.89792913,0.8950089,0.9034074,0.8060501,0.6386503,0.61701125,0.7825085,0.7261543,0.708468,0.8630392,0.9001071,0.90365726,0.90304685,0.90004855,0.89791715,0.87025315,0.7785844,0.8958707,0.89263195,0.8829556,0.8832478,0.89646,0.90253544,0.9039781,0.90494263,0.9048361,0.9053674,0.9033904,0.90448564,0.90262,0.90313315,0.903736,0.9000098,0.9028683,0.90363985,0.903225,0.903225,0.89330494,0.89039934,0.89923775,0.9006376,0.8985509,0.8997124,0.8982329,0.8990911,0.9004095,0.90153384,0.89889556,0.89889556
181,2016-06-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,2016-06-28,0.870678,0.8710862,0.85731304,0.8876565,0.88236964,0.8854668,0.91411775,0.86619,0.8262984,0.8665579,0.8928856,0.9095267,0.8397427,0.8301005,0.880494,0.8842279,0.874469,0.85674864,0.7967442,0.77846706,0.79146886,0.8734493,0.8872405,0.89981675,0.86508673,0.87025267,0.87996113,0.87814474,0.851196,0.73467356,0.7567102,0.80079377,0.82431763,0.8684516,0.8978654,0.894762,0.8805725,0.8818837,0.8736499,0.86449057,0.8226391,0.6575022,0.70371395,0.7935114,0.8505971,0.85030234,0.8516422,0.88934857,0.8844337,0.88691115,0.8842099,0.8440076,0.7599989,0.6412455,0.6713228,0.7580588,0.8558675,0.87312955,0.8636426,0.8832741,0.8934056,0.8940534,0.84717333,0.7250004,0.6590509,0.6597861,0.6305611,0.7029071,0.85073614,0.895791,0.88806427,0.8959986,0.8982642,0.9054748,0.7975522,0.65162057,0.63145405,0.7557537,0.7227883,0.7398754,0.8760659,0.8999598,0.90269136,0.90383184,0.9047545,0.90561897,0.8838905,0.81025505,0.89979887,0.89722973,0.886672,0.8735151,0.89799625,0.9058737,0.90657544,0.9052551,0.90959644,0.9091325,0.9089681,0.9072965,0.9052199,0.9044171,0.90425426,0.90389496,0.9015809,0.9007913,0.9040026,0.9040026,0.89174604,0.8949616,0.9063158,0.9057288,0.9011794,0.9016841,0.9009831,0.9026213,0.9053337,0.903411,0.9074826,0.9074826
183,2016-07-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,2016-07-12,0.8698159,0.86122257,0.8522763,0.88287026,0.8751673,0.87608236,0.908618,0.8701388,0.82853115,0.8511299,0.87809706,0.89693785,0.83297306,0.8203957,0.87151057,0.87281966,0.86321354,0.84813935,0.8021562,0.7725267,0.77844274,0.85750246,0.87234306,0.88647777,0.8549491,0.86322284,0.87834024,0.86572886,0.84537584,0.7269045,0.7488463,0.78438735,0.80840576,0.8522481,0.88628244,0.87885755,0.8710993,0.8738882,0.8660324,0.85297894,0.81977326,0.66280437,0.66218126,0.77385724,0.83564085,0.8313773,0.8362594,0.8797888,0.8748655,0.8784181,0.8739477,0.83653283,0.75757194,0.62953484,0.6597883,0.72467935,0.83454704,0.86066836,0.85073674,0.8699517,0.88608235,0.88949156,0.8448198,0.7392703,0.6711117,0.6644142,0.6371518,0.6957512,0.84161496,0.88788307,0.87480277,0.8869095,0.8918622,0.90116733,0.80830103,0.67647743,0.6495636,0.75228024,0.7301027,0.737301,0.8590373,0.89299953,0.8944918,0.8961108,0.89595675,0.89713615,0.87271416,0.8098865,0.8933713,0.889292,0.8723082,0.86311215,0.8869575,0.8967387,0.8974499,0.8961108,0.900577,0.8991354,0.90102464,0.8994938,0.89803714,0.8954916,0.8935104,0.89288396,0.89213663,0.8925805,0.893443,0.893443,0.88451487,0.8842999,0.8952194,0.8971737,0.8973739,0.8916375,0.88717854,0.89228076,0.8939762,0.8942602,0.89762694,0.89762694
185,2016-07-19,0.8698159,0.86122257,0.8522763,0.88287026,0.8751673,0.87608236,0.908618,0.8701388,0.82853115,0.8511299,0.87809706,0.89693785,0.83297306,0.8203957,0.87151057,0.87281966,0.86321354,0.84813935,0.8021562,0.7725267,0.77844274,0.85750246,0.87234306,0.88647777,0.8549491,0.86322284,0.87834024,0.86572886,0.84537584,0.7269045,0.7488463,0.78438735,0.80840576,0.8522481,0.88628244,0.87885755,0.8710993,0.8738882,0.8660324,0.85297894,0.81977326,0.66280437,0.66218126,0.77385724,0.83564085,0.8313773,0.8362594,0.8797888,0.8748655,0.8784181,0.8739477,0.83653283,0.75757194,0.62953484,0.6597883,0.72467935,0.83454704,0.86066836,0.85073674,0.8699517,0.88608235,0.88949156,0.8448198,0.7392703,0.6711117,0.6644142,0.6371518,0.6957512,0.84161496,0.88788307,0.87480277,0.8869095,0.8918622,0.90116733,0.80830103,0.67647743,0.6495636,0.75228024,0.7301027,0.737301,0.8590373,0.89299953,0.8944918,0.8961108,0.89595675,0.89713615,0.87271416,0.8098865,0.8933713,0.889292,0.8723082,0.86311215,0.8869575,0.8967387,0.8974499,0.8961108,0.900577,0.8991354,0.90102464,0.8994938,0.89803714,0.8954916,0.8935104,0.89288396,0.89213663,0.8925805,0.893443,0.893443,0.88451487,0.8842999,0.8952194,0.8971737,0.8973739,0.8916375,0.88717854,0.89228076,0.8939762,0.8942602,0.89762694,0.89762694
186,2016-07-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,2016-08-02,0.86861026,0.8431444,0.821948,0.88351244,0.87368673,0.88649875,0.9030713,0.88750637,0.83770895,0.8392847,0.88551974,0.9031622,0.8099288,0.8265388,0.8796306,0.87664014,0.8719423,0.84012043,0.7842531,0.7461405,0.79109424,0.8487708,0.86139864,0.886343,0.8592342,0.86428374,0.878162,0.8654612,0.8547741,0.70139205,0.77033573,0.78455555,0.8158193,0.8590623,0.8932954,0.876396,0.8684385,0.8740462,0.8679943,0.843668,0.83565706,0.6597896,0.65793544,0.79123193,0.8243408,0.83713824,0.84101707,0.8820703,0.8758063,0.8736926,0.8664751,0.82433575,0.7400976,0.64634156,0.6647084,0.74177897,0.83255345,0.8660206,0.8498942,0.88007915,0.8879774,0.9006264,0.82828474,0.69936866,0.67428285,0.67027044,0.62368244,0.7162079,0.8557968,0.891583,0.8902008,0.8975567,0.8921922,0.9021437,0.79713297,0.6562615,0.6747206,0.78618515,0.73181206,0.742676,0.8691959,0.894545,0.89619267,0.8995811,0.89808565,0.89656585,0.8773772,0.8184028,0.8931708,0.89437395,0.88683164,0.8793418,0.88826996,0.9000008,0.9015402,0.9007566,0.9014605,0.90032023,0.90127486,0.9022632,0.90116507,0.9006978,0.8949724,0.896423,0.8982357,0.8986672,0.8983324,0.8983324,0.87991285,0.88101363,0.8910152,0.8955332,0.90127105,0.89765793,0.88868386,0.8935528,0.89486814,0.89597553,0.8989261,0.8989261
188,2016-08-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,2016-08-16,,,0.8074603,,,,0.8827558,0.8417639,0.79487824,0.81895757,0.85470563,0.87213814,,,0.814749,0.82472056,,,0.79697037,0.75870854,0.771128,0.82690185,0.8382035,0.858042,,,0.7921321,0.8206508,0.84089303,0.7417489,,,0.79950106,0.82781917,0.8585567,0.8535618,,,,,,0.70722103,0.6921436,,,0.81348324,0.8121954,0.842913,,,,,0.74130833,0.6765968,0.6860414,0.73078847,0.81506526,0.8017458,0.7885801,0.82192326,0.85458404,0.8392836,0.746404,0.68125564,0.6544772,0.65846336,0.63829726,0.7269109,0.80515677,0.8622386,,,0.775787,0.75674045,0.6507702,0.63046324,0.616228,0.5538263,0.697333,0.77265084,0.834394,,0.86187625,0.74455357,0.7435328,0.69864297,0.6406963,0.5637494,0.59232116,0.70653826,,,0.8328193,0.79523736,0.68056005,0.71659756,0.80521804,0.76366913,0.62272406,0.64481276,0.5888638,0.7160224,0.812341,0.8603658,0.8335592,0.8314958,0.823828,0.823828,0.7274631,0.4628298,0.46773633,0.45195997,0.43385515,0.53329474,0.72914505,0.8001517,0.8721185,0.89173275,0.90023345,0.90023345
190,2016-08-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,2016-08-30,0.28618002,0.29290432,0.2934005,0.28442615,0.2825708,0.29462084,0.2998405,0.3179512,0.32787928,0.34465638,0.3506294,0.36726356,0.25078204,0.26208696,0.27223438,0.2698804,0.26203495,0.26917136,0.2770633,0.28909168,0.32319826,0.34398302,0.34954253,0.368522,0.22154462,0.23017001,0.25323558,0.25566956,0.24105075,0.2496648,0.25998527,0.27966666,0.3151166,0.34187207,0.35301805,0.36123058,0.20962614,0.21133843,0.21777433,0.23051092,0.2342258,0.23666067,0.25088188,0.26930243,0.30564436,0.3438272,0.3673441,0.4053577,0.204132,0.20845236,0.20884825,0.21661302,0.22200185,0.22316514,0.23498137,0.25128853,0.28456622,0.32283595,0.3686576,0.40907934,0.21673304,0.21785413,0.20806353,0.20116101,0.21013229,0.21070972,0.2173327,0.24444267,0.29232457,0.32460928,0.34857267,0.3929616,0.2353967,0.23066372,0.23116204,0.21579352,0.21547063,0.23115958,0.22523393,0.25138,0.28888023,0.31374407,0.33530188,0.36581156,0.25151548,0.25057825,0.25414118,0.24435063,0.2668178,0.2626566,0.25892603,0.2724535,0.2970471,0.32921132,0.35579503,0.3863792,0.2724416,0.2698628,0.272871,0.27019304,0.2765681,0.2839451,0.28510773,0.29044554,0.30406746,0.33635104,0.39255378,0.39255378,0.27969927,0.27534044,0.2754381,0.2834295,0.2886676,0.29354388,0.29631332,0.30011997,0.32816333,0.3702212,0.42404813,0.42404813
192,2016-09-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,2016-09-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,2016-09-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,2016-09-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,2016-10-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,2016-10-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,2016-10-18,0.4374744,0.49978474,,,0.516993,0.50894415,0.48361114,0.47254843,0.44997066,0.43398556,0.44964686,0.41956848,0.48128283,,0.5384531,0.523043,0.500013,0.48147509,0.44407725,0.42537767,0.40957582,0.40423575,0.41452864,0.40961194,0.4818036,0.49693805,0.50366896,0.47990823,0.46847513,0.44454807,0.40750322,0.38617516,0.3807012,0.38356343,0.39124343,0.41359895,0.463897,0.45924202,0.48419717,0.45597747,0.416134,0.39735752,0.37901208,0.36692873,0.3679936,0.37817016,0.40861738,0.4435522,0.47200078,0.44426918,0.47000825,0.43671578,0.3911487,0.37049368,0.37282255,0.3724286,0.38059708,0.4144739,0.42839882,0.44137073,0.47393733,0.4711255,0.46953377,0.42685935,0.3860238,0.3763859,0.38558906,0.42169213,0.43321162,0.43006742,0.43065017,0.45806563,0.48091754,0.46635613,0.45038238,0.41150382,0.39232132,0.4142894,0.42753026,0.46002483,0.46386763,0.4479082,0.46820557,0.500487,0.45840603,0.46286315,0.4445126,0.4221906,0.45505282,0.4487401,0.4636195,0.4752055,0.47430137,0.4526352,0.4780089,0.5382643,0.47887665,0.4801057,0.5121544,0.5089948,0.49587387,0.48946396,0.4828344,0.49204007,0.49345857,0.48594463,0.5247943,0.5247943,0.532088,0.5291031,0.523591,0.51635575,0.5213222,0.5047033,0.4888295,0.49374282,0.50034654,0.53661925,0.5753259,0.5753259
199,2016-10-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,2016-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,2016-11-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,2016-11-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
