,date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164
103,2014-12-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,2014-12-30,0.40237406,0.4666812,0.5062216,0.5608587,0.5061153,0.49322748,0.41271564,0.39832097,0.466684,0.3882353,0.46831682,0.43818313,0.47323728,0.4419058,0.48133174,0.5245826,0.47626397,0.5143776,0.4694613,0.48143393,0.40641385,0.42682788,0.45000654,0.41725057,0.45926115,0.36578315,0.47417173,0.57894737,0.51109475,0.53339183,0.57872707,0.49362883,0.5126297,0.4793636,0.44558963,0.36026773,0.3945257,0.41782424,0.4201434,0.44840935,0.43925685,0.44485778,0.5319255,0.46739927,0.39593536,0.527768,0.49327356,0.39042655,0.4705612,0.47859383,0.42088372,0.46848843,0.47347882,0.3972967,0.4023383,0.48751226,0.4570073,0.53699046,0.44607422,0.40339512,0.47251043,0.3997435,0.35475487,0.36075878,0.46805766,0.5274699,0.42725477,0.5040567,0.37565675,0.49903834,0.44634804,0.43969053,0.47433826,0.40401566,0.40533367,0.43344223,0.38187557,0.45167404,0.43734938,0.38817355,0.46825206,0.46150938,0.4502624,0.42758775,0.4774005,0.4261857,0.49642482,0.5779523,0.53652334,0.45551267,0.45446977,0.36922902,0.38276505,0.4403164,0.39595476,0.40636617,0.45376593,0.46720153,0.47663763,0.50530034,0.45935142,0.48913658,0.5439196,0.52361524,0.51858175,0.3841513,0.39483222,0.40495157,0.37505606,0.39876217,0.46926785,0.44082734,0.4199082,0.4655014,0.51308596,0.5390661,0.5020452,0.4970283,0.45947018,0.50684774,0.41368374,0.43653658,0.4760489,0.4537974,0.45606986,0.40047047,0.37806478,0.45150656,0.39947957,0.45639288,0.43386406,0.48627916,0.46747303,0.4825188,0.49629438,0.44983134,0.43159884,0.41659766,0.41766262,0.43139625,0.41120356,0.4434587,0.3989228,0.3987153,0.42036614,0.44388518,0.4541088,0.49239412,0.5166227,0.52272296,0.46716288,0.4829871,0.46798137,0.47401932,0.4026461,0.3662115,0.4128376,0.38715354,0.4792484,0.43586302,0.42143846,0.4722526,0.50810516,0.56654626,0.5805098
105,2015-01-06,0.40237406,0.4666812,0.5062216,0.5608587,0.5061153,0.49322748,0.41271564,0.39832097,0.466684,0.3882353,0.46831682,0.43818313,0.47323728,0.4419058,0.48133174,0.5245826,0.47626397,0.5143776,0.4694613,0.48143393,0.40641385,0.42682788,0.45000654,0.41725057,0.45926115,0.36578315,0.47417173,0.57894737,0.51109475,0.53339183,0.57872707,0.49362883,0.5126297,0.4793636,0.44558963,0.36026773,0.3945257,0.41782424,0.4201434,0.44840935,0.43925685,0.44485778,0.5319255,0.46739927,0.39593536,0.527768,0.49327356,0.39042655,0.4705612,0.47859383,0.42088372,0.46848843,0.47347882,0.3972967,0.4023383,0.48751226,0.4570073,0.53699046,0.44607422,0.40339512,0.47251043,0.3997435,0.35475487,0.36075878,0.46805766,0.5274699,0.42725477,0.5040567,0.37565675,0.49903834,0.44634804,0.43969053,0.47433826,0.40401566,0.40533367,0.43344223,0.38187557,0.45167404,0.43734938,0.38817355,0.46825206,0.46150938,0.4502624,0.42758775,0.4774005,0.4261857,0.49642482,0.5779523,0.53652334,0.45551267,0.45446977,0.36922902,0.38276505,0.4403164,0.39595476,0.40636617,0.45376593,0.46720153,0.47663763,0.50530034,0.45935142,0.48913658,0.5439196,0.52361524,0.51858175,0.3841513,0.39483222,0.40495157,0.37505606,0.39876217,0.46926785,0.44082734,0.4199082,0.4655014,0.51308596,0.5390661,0.5020452,0.4970283,0.45947018,0.50684774,0.41368374,0.43653658,0.4760489,0.4537974,0.45606986,0.40047047,0.37806478,0.45150656,0.39947957,0.45639288,0.43386406,0.48627916,0.46747303,0.4825188,0.49629438,0.44983134,0.43159884,0.41659766,0.41766262,0.43139625,0.41120356,0.4434587,0.3989228,0.3987153,0.42036614,0.44388518,0.4541088,0.49239412,0.5166227,0.52272296,0.46716288,0.4829871,0.46798137,0.47401932,0.4026461,0.3662115,0.4128376,0.38715354,0.4792484,0.43586302,0.42143846,0.4722526,0.50810516,,
106,2015-01-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,2015-01-20,,,,,0.008248365,0.02223179,0.02698212,0.027710805,0.04708337,0.060003202,0.076903306,0.034664437,,,,0.0026789794,0.00062622834,,,0.008470427,0.020007785,0.038893033,0.041321084,0.0505083,0.05161631,0.038314965,0.0208524,,,,0.003987391,0.008566849,0.0026060604,0.002779241,0.010267985,0.025200147,0.031824164,0.039978072,0.04441108,0.03610876,0.026314488,0.013835461,0.0015498357,,,0.0043325047,0.011604937,0.01760454,0.015069488,0.019710964,0.02693568,0.027265666,0.030753085,0.034361668,0.028679691,0.023319455,0.014428295,0.008058929,0.005121309,0.0053260657,,0.0038221036,0.018982762,0.029527493,0.026412414,0.027357586,0.021077937,0.015203859,0.017514257,0.024844483,0.02253494,0.016746711,0.01283658,0.015690522,0.011689282,0.0015666151,0.0025557128,0.013639452,0.022650668,0.026732337,0.02924431,0.020451715,0.01666005,0.017205678,0.019240845,0.009326023,0.0097402,0.009488429,0.013454187,0.017124252,,0.0001250962,0.008117048,0.013154948,0.01809605,0.02113489,0.01902209,0.016879693,0.017144267,0.015717775,0.010045795,0.01072632,0.0057456978,0.004440695,0.010002005,0.011785047,0.009946255,0.012847052,0.02458786,0.025514044,0.019579485,0.018703308,0.014038186,0.010291439,0.014171935,0.01568377,0.011650268,0.009505799,0.013015133,0.014048194,0.025358967,0.023722835,0.022481775,0.028389528,0.032301344,0.026357656,0.022433292,0.014096189,0.0062336773,0.010534902,0.0023045072,0.009346626,0.0076306034,0.0096751,0.011352352,0.027950123,0.030675428,0.027858546,0.028163692,0.027684467,0.032069802,0.025611337,0.010187492,,,,0.005145027,0.004004437,,0.0058897124,0.03633004,0.03267082,0.027157845,0.033247817,0.03366014,0.026007434,0.014981803,0.0044784322,,,,0.0010395978,0.0043285303,0.0046099043,0.008142429
108,2015-01-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,2015-02-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,2015-02-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,2015-02-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,2015-02-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,2015-03-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,2015-03-10,0.12252659,0.12082948,0.114082694,0.10891936,0.104008235,0.10861364,0.11201296,0.1110192,0.109329544,0.09970006,0.090844646,0.090184234,0.09824026,0.1014983,0.10312861,0.12177961,0.119085014,0.10593052,0.10996727,0.11030447,0.10928157,0.10782276,0.1069254,0.107208006,0.097887695,0.09016213,0.09369974,0.10699155,0.10887337,0.107467614,0.12824735,0.12302222,0.11243622,0.11577281,0.11672373,0.11746169,0.11680691,0.11142131,0.10815319,0.10450478,0.0956282,0.10128515,0.111412406,0.111651465,0.11001113,0.12773825,0.1275248,0.11780206,0.116246715,0.11975852,0.12747273,0.12599078,0.11741184,0.11369712,0.111573696,0.10961678,0.11181806,0.111109465,0.11193362,0.113228664,0.12988277,0.1273196,0.11970152,0.11729171,0.12589498,0.12955457,0.12281202,0.12039197,0.12155915,0.1195031,0.119745396,0.11813631,0.11088888,0.1095973,0.11230841,0.119912185,0.123625204,0.11831302,0.12172132,0.12212022,0.13032521,0.12265657,0.12284548,0.12627986,0.12518866,0.12384785,0.12064095,0.11535687,0.10978393,0.10669078,0.124738276,0.12617677,0.12414441,0.123875715,0.12594965,0.12953582,0.1271362,0.12894243,0.13191575,0.13125245,0.12468486,0.119940296,0.1173886,0.11122199,0.10700236,0.1365972,0.13795233,0.13379265,0.13049775,0.12725191,0.12602876,0.13151528,0.13387264,0.13322937,0.13241485,0.124540396,0.12034073,0.118589185,0.108775176,0.10510673,0.14576772,0.145103,0.13703266,0.12487665,0.12955226,0.12663908,0.13356091,0.1355712,0.13640946,0.13236149,0.13233948,0.12773715,0.12201543,0.108639136,0.10713853,0.15635455,0.15224403,0.14445513,0.13232324,0.1331593,0.13208768,0.131124,0.13279556,0.13537927,0.13104835,0.12896675,0.121579975,0.12123534,0.11063851,0.10950888,0.15743513,0.15385559,0.15122722,0.14359699,0.13882548,0.13156311,0.12845285,0.12743016,0.1287607,0.12630251,0.1200469,0.11970078,0.117650114,0.114772655,0.11253839
115,2015-03-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,2015-03-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,2015-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,2015-04-07,,,,,,,,,,,,,,0.50068146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.49643812,,,
119,2015-04-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,2015-04-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,2015-04-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,2015-05-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,2015-05-12,0.33698094,0.33871225,0.33988315,0.33713618,0.33958048,0.3459976,0.3523589,0.35742968,0.3610443,0.3690701,0.37816018,0.39198577,0.3977629,0.39480662,0.39689353,0.33973098,0.34250104,0.3427825,0.34094816,0.34731874,0.35067979,0.3512202,0.35846382,0.36592087,0.37450534,0.37813658,0.3927216,0.4001986,0.4088796,0.4089861,0.34806663,0.35005456,0.34891486,0.34997758,0.35931754,0.36336613,0.35897106,0.36257106,0.36633936,0.37435645,0.37670663,0.38553372,0.3978818,0.41271546,0.4146439,0.36027265,0.36402184,0.36545596,0.36338446,0.36869103,0.3724058,0.36676085,0.35776412,0.3575249,0.36821,0.37274447,0.37646064,0.39247215,0.40335166,0.40906405,0.36958125,0.37240484,0.3740625,0.3698509,0.37196922,0.37387317,0.37085772,0.3596693,0.35197136,0.3659891,0.37181205,0.37679368,0.3908879,0.39988106,0.40383446,0.3753627,0.377227,0.3795738,0.3756696,0.37403682,0.37234306,0.37338787,0.36605364,0.3581872,0.36923298,0.37416887,0.38544515,0.39957553,0.40957406,0.40871072,0.37613225,0.3856501,0.3849522,0.3770194,0.37246716,0.37273207,0.37978697,0.38324618,0.38074246,0.3818345,0.38284534,0.38930127,0.40611926,0.42250398,0.42401615,0.38285786,0.39081982,0.38300806,0.37468287,0.37470514,0.38366395,0.39037636,0.39509964,0.39994025,0.39511254,0.39272943,0.39415023,0.4107313,0.43091884,0.4320566,0.38657317,0.38974872,0.3812064,0.37393382,0.38236347,0.39148375,0.39840734,0.3995118,0.40961632,0.4045918,0.40218833,0.4029791,0.41585135,0.42962125,0.42752764,0.38300732,0.3834696,0.38123634,0.38420638,0.39196703,0.39832234,0.40096775,0.40160635,0.41055495,0.4058682,0.40479276,0.40993208,0.4131814,0.41937542,0.41725436,0.37542942,0.3797645,0.38015062,0.3861569,0.39171004,0.3966249,0.40189907,0.40494612,0.4109299,0.4113676,0.41257527,0.41453362,0.4114341,0.41203865,0.41356316
124,2015-05-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,2015-05-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.58875036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,2015-06-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,2015-06-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,2015-06-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,2015-06-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,2015-06-30,,,,,0.9005138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8869408,,0.89203525,,,,,0.8948281,0.89265966,,,0.8430923,0.7314411,0.76516265,,,,,,,,,,,,,,0.73633575,0.64198864,,,,,,,,,,,,,,,0.7173573,0.7722661,,0.8871875,0.8827593,0.8846495,0.89384663,,,,,,,,,,0.86295545,,0.88876665,0.88500214,0.8839953,0.8892659,,,,,,,,,,0.8878604,,,,,,,,,,,,,,,,,0.8892552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,2015-07-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,2015-07-14,0.8560013,0.8720426,0.8768376,0.87603253,0.8824702,0.88725907,0.8885177,0.8884341,0.8811962,0.87848,0.877146,0.87306607,0.86890185,0.8688723,0.86980104,0.87025154,0.8733526,0.8786743,0.8829217,0.88376,0.8830448,0.88078254,0.8859593,0.8869101,0.87902474,0.87407273,0.8734161,0.8707716,0.87041616,0.8708177,0.87832516,0.8788405,0.878664,0.87541753,0.8806832,0.88147265,0.8743045,0.83029324,0.8658602,0.87984085,0.86795205,0.87035316,0.86895525,0.86900216,0.8698919,0.87967515,0.8792907,0.8773194,0.8755147,0.87825894,0.8776239,0.85740405,0.73407096,0.76508427,0.87026274,0.8666934,0.86586505,0.8729449,0.87076366,0.8735141,0.8803598,0.87867796,0.8794903,0.8769196,0.8743015,0.87651324,0.86925954,0.76251423,0.6778954,0.81678444,0.87032294,0.8640418,0.866193,0.87251014,0.8758155,0.8839649,0.8803255,0.87851053,0.87647045,0.8714102,0.8710281,0.87579495,0.84202933,0.71997046,0.7856075,0.85993624,0.86629444,0.8591154,0.86767244,0.872632,0.8831438,0.87932444,0.8762067,0.8758946,0.8730836,0.87462837,0.8769761,0.87422985,0.8369648,0.8600414,0.87009424,0.87017375,0.8678247,0.8674578,0.869928,0.8810167,0.8798929,0.8779715,0.8768883,0.87628174,0.8775705,0.8750501,0.8756829,0.876894,0.87150365,0.8695255,0.87174726,0.8700918,0.8667015,0.86760104,0.8822917,0.88298416,0.88122386,0.8784553,0.8766126,0.87525773,0.8691982,0.8727424,0.8740001,0.8692509,0.87050796,0.8726978,0.87055427,0.86880046,0.8687713,0.878917,0.8781647,0.87765956,0.87271845,0.87399346,0.8737655,0.87139064,0.86964756,0.87267596,0.8709026,0.8713419,0.87127787,0.8731234,0.87444127,0.8762549,0.87630415,0.87188953,0.87116593,0.87422967,0.87406707,0.8745669,0.8716615,0.87213415,0.87045234,0.8767966,0.87076145,0.87270707,0.87646,0.8780747,0.8847793
133,2015-07-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,2015-07-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,2015-08-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,2015-08-11,0.8772944,0.88910705,0.8898166,0.89021677,0.8952295,0.8971822,0.8999236,0.89986795,0.8933258,0.891635,0.89178675,0.88791347,0.88764375,0.88615197,0.88614196,0.8864412,0.89081097,0.8945516,0.8957245,0.8981102,0.89410603,0.89158994,0.8917844,0.89786685,0.89534676,0.89078486,0.88828367,0.888107,0.8859549,0.8873415,0.8956675,0.8963523,0.8948315,0.8919317,0.8939842,0.8945766,0.88045996,0.87021273,0.882352,0.8965291,0.88697815,0.88599986,0.886283,0.88586915,0.8852177,0.8985097,0.8942352,0.8911087,0.8877443,0.89553815,0.8942988,0.8510751,0.7691143,0.80131936,0.8804617,0.8808749,0.8789229,0.88790274,0.8877969,0.890243,0.89613974,0.8930026,0.89353865,0.8895801,0.8904589,0.8902282,0.8905989,0.7807583,0.73344976,0.8429429,0.8836105,0.8793474,0.8822924,0.8904455,0.8915356,0.8979044,0.8963589,0.89364356,0.8903906,0.88364655,0.88887453,0.89468205,0.8627928,0.7755555,0.81716573,0.886767,0.8838125,0.8797038,0.88421655,0.8920659,0.8957869,0.8940152,0.8917977,0.8890387,0.8869926,0.88995105,0.89375746,0.8926623,0.8705446,0.870455,0.88379216,0.8875508,0.8834863,0.88456666,0.8890992,0.89467865,0.89613813,0.89378303,0.8920277,0.89427197,0.8944589,0.8880535,0.8930562,0.89131975,0.88694733,0.8848233,0.89086306,0.88538873,0.8843154,0.8873853,0.8974558,0.89924604,0.8985201,0.89514536,0.88887507,0.89141285,0.88857836,0.8869584,0.8933069,0.88690895,0.8891038,0.8897775,0.885741,0.8856881,0.88819045,0.8943907,0.8934211,0.8917581,0.8909384,0.8885605,0.8896183,0.88925356,0.8872072,0.89038485,0.88868874,0.8884176,0.8892079,0.8896618,0.8900844,0.89157265,0.8860911,0.88928175,0.88684267,0.8899488,0.88880354,0.88747954,0.8889457,0.88647383,0.8887509,0.88953567,0.8913478,0.88930523,0.89212173,0.8965814,0.9020108
137,2015-08-18,0.8772944,0.88910705,0.8898166,0.89021677,0.8952295,0.8971822,0.8999236,0.89986795,0.8933258,0.891635,0.89178675,0.88791347,0.88764375,0.88615197,0.88614196,0.8864412,0.89081097,0.8945516,0.8957245,0.8981102,0.89410603,0.89158994,0.8917844,0.89786685,0.89534676,0.89078486,0.88828367,0.888107,0.8859549,0.8873415,0.8956675,0.8963523,0.8948315,0.8919317,0.8939842,0.8945766,0.88045996,0.87021273,0.882352,0.8965291,0.88697815,0.88599986,0.886283,0.88586915,0.8852177,0.8985097,0.8942352,0.8911087,0.8877443,0.89553815,0.8942988,0.8510751,0.7691143,0.80131936,0.8804617,0.8808749,0.8789229,0.88790274,0.8877969,0.890243,0.89613974,0.8930026,0.89353865,0.8895801,0.8904589,0.8902282,0.8905989,0.7807583,0.73344976,0.8429429,0.8836105,0.8793474,0.8822924,0.8904455,0.8915356,0.8979044,0.8963589,0.89364356,0.8903906,0.88364655,0.88887453,0.89468205,0.8627928,0.7755555,0.81716573,0.886767,0.8838125,0.8797038,0.88421655,0.8920659,0.8957869,0.8940152,0.8917977,0.8890387,0.8869926,0.88995105,0.89375746,0.8926623,0.8705446,0.870455,0.88379216,0.8875508,0.8834863,0.88456666,0.8890992,0.89467865,0.89613813,0.89378303,0.8920277,0.89427197,0.8944589,0.8880535,0.8930562,0.89131975,0.88694733,0.8848233,0.89086306,0.88538873,0.8843154,0.8873853,0.8974558,0.89924604,0.8985201,0.89514536,0.88887507,0.89141285,0.88857836,0.8869584,0.8933069,0.88690895,0.8891038,0.8897775,0.885741,0.8856881,0.88819045,0.8943907,0.8934211,0.8917581,0.8909384,0.8885605,0.8896183,0.88925356,0.8872072,0.89038485,0.88868874,0.8884176,0.8892079,0.8896618,0.8900844,0.89157265,0.8860911,0.88928175,0.88684267,0.8899488,0.88880354,0.88747954,0.8889457,0.88647383,0.8887509,0.88953567,0.8913478,0.88930523,0.89212173,0.8965814,0.9020108
138,2015-08-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
