,date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120
124,2015-05-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,2015-05-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,2015-06-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,2015-06-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,2015-06-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,2015-06-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,2015-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.79011625,,,,,,,,,,0.8131297,0.78074324,,,,,,,
131,2015-07-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,2015-07-14,0.8877585,0.88271916,0.8887433,0.8882887,0.8810362,0.88148105,0.88164717,0.8823757,0.87779343,0.87825495,0.88438857,0.8760599,0.8876442,0.8824266,0.8836319,0.8790479,0.8699966,0.8581633,0.85798246,0.8768303,0.8819759,0.8869649,0.84481287,0.8563247,0.87358266,0.87674135,0.8829932,0.8731922,0.8526705,0.8544732,0.87542075,0.8879097,0.8912461,0.79964435,0.86976135,0.88435835,0.88364685,0.88584083,0.8846009,0.87699527,0.8911169,0.8960033,0.89345574,0.89345574,0.85986656,0.8842289,0.8825437,0.8831529,0.8838413,0.8851156,0.88918155,0.89412737,0.8954169,0.8954169,0.89651346,0.8798091,0.89037627,0.8911302,0.8885253,0.88922364,0.89136225,0.8932291,0.8897182,0.88910794,0.88910794,0.8957771,0.8868279,0.89716405,0.8916989,0.8796942,0.8883932,0.89325964,0.8954981,0.8867557,0.8867557,0.88580275,0.8869432,0.8917052,0.8978989,0.88160795,0.8657637,0.89316654,0.8980367,0.89548206,0.8978767,0.8978767,0.88924795,0.87753946,0.89729464,0.8971492,0.84697276,0.83011556,0.8856834,0.89023256,0.89009243,0.89009243,0.8895864,0.8843557,0.87585723,0.8974668,0.8957469,0.82820946,0.7854297,0.8519771,0.87892854,0.8787379,0.8787379,0.88394123,0.87930936,0.8826299,0.86323714,0.85406756,0.822102,0.758641,0.86791396,0.88039154,0.87895256,0.87895256,0.876796,0.8757869,0.8791171
133,2015-07-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,2015-07-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,2015-08-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,2015-08-11,0.89700705,0.89691305,0.89985484,0.8988085,0.8913925,0.8939838,0.89853287,0.89679426,0.8956267,0.89181614,0.9000247,0.89202017,0.90548307,0.8967641,0.89500964,0.8901992,0.8784375,0.8664754,0.8762884,0.8883855,0.8908449,0.90386534,0.86699057,0.8754748,0.88702303,0.8888997,0.89315295,0.89141375,0.86665416,0.8681593,0.8873545,0.8991141,0.9018892,0.8385632,0.85021883,0.89609385,0.89284986,0.89295983,0.8959144,0.88661796,0.90222543,0.9086004,0.90370226,0.90370226,0.87751913,0.88929987,0.8944774,0.8953194,0.88543737,0.90049464,0.8988029,0.906883,0.90451556,0.90451556,0.91131413,0.89002836,0.9045918,0.9027454,0.9011461,0.9001987,0.90357035,0.9023211,0.90213394,0.9030027,0.9030027,0.9045393,0.8985058,0.9049333,0.8989588,0.8938235,0.89924824,0.9051406,0.90309,0.8991613,0.8991613,0.8999348,0.90229714,0.9025091,0.9088302,0.8796253,0.88692236,0.90071017,0.9082673,0.9037527,0.9025795,0.9025795,0.90543085,0.8922981,0.9079193,0.90434384,0.84706336,0.8504628,0.900556,0.9029061,0.90004945,0.90004945,0.9058306,0.9038525,0.8929714,0.90599465,0.90262467,0.85790586,0.8025494,0.86911947,0.88849115,0.8927098,0.8927098,0.89680886,0.8967444,0.8971388,0.8773328,0.86741805,0.8245825,0.8300121,0.88360935,0.89225364,0.89386874,0.89386874,0.89207333,0.88733923,0.8915359
137,2015-08-18,0.89700705,0.89691305,0.89985484,0.8988085,0.8913925,0.8939838,0.89853287,0.89679426,0.8956267,0.89181614,0.9000247,0.89202017,0.90548307,0.8967641,0.89500964,0.8901992,0.8784375,0.8664754,0.8762884,0.8883855,0.8908449,0.90386534,0.86699057,0.8754748,0.88702303,0.8888997,0.89315295,0.89141375,0.86665416,0.8681593,0.8873545,0.8991141,0.9018892,0.8385632,0.85021883,0.89609385,0.89284986,0.89295983,0.8959144,0.88661796,0.90222543,0.9086004,0.90370226,0.90370226,0.87751913,0.88929987,0.8944774,0.8953194,0.88543737,0.90049464,0.8988029,0.906883,0.90451556,0.90451556,0.91131413,0.89002836,0.9045918,0.9027454,0.9011461,0.9001987,0.90357035,0.9023211,0.90213394,0.9030027,0.9030027,0.9045393,0.8985058,0.9049333,0.8989588,0.8938235,0.89924824,0.9051406,0.90309,0.8991613,0.8991613,0.8999348,0.90229714,0.9025091,0.9088302,0.8796253,0.88692236,0.90071017,0.9082673,0.9037527,0.9025795,0.9025795,0.90543085,0.8922981,0.9079193,0.90434384,0.84706336,0.8504628,0.900556,0.9029061,0.90004945,0.90004945,0.9058306,0.9038525,0.8929714,0.90599465,0.90262467,0.85790586,0.8025494,0.86911947,0.88849115,0.8927098,0.8927098,0.89680886,0.8967444,0.8971388,0.8773328,0.86741805,0.8245825,0.8300121,0.88360935,0.89225364,0.89386874,0.89386874,0.89207333,0.88733923,0.8915359
138,2015-08-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,2015-09-01,0.78998095,0.7972371,0.8061636,0.80724907,0.80619365,0.80831903,0.80907005,0.80313885,0.79802805,0.8029788,0.814035,0.8002806,0.8094568,0.8135996,0.8132699,0.8116931,0.7977419,0.7871796,0.79536223,0.8066345,0.8085658,0.8228783,0.78978264,0.80142134,0.8083542,0.8133618,0.8155174,0.80935806,0.79277796,0.7935021,0.8163454,0.82317084,0.82721186,0.77807695,0.7863972,0.82220227,0.8180577,0.8157094,0.8141838,0.80923617,0.82491696,0.83430195,0.8278145,0.8278145,0.7989787,0.8158411,0.81937855,0.81922245,0.809015,0.82114726,0.8227785,0.8260306,0.82896614,0.82896614,0.8337452,0.8114461,0.82216275,0.8237881,0.82146555,0.82138664,0.8243185,0.82300395,0.8216689,0.82255584,0.82255584,0.8225162,0.8196286,0.8260678,0.82148147,0.8154792,0.82229304,0.8299826,0.82589424,0.8219758,0.8219758,0.812202,0.80827206,0.8253385,0.8304401,0.8045031,0.81067467,0.82839745,0.82789695,0.81805855,0.81129223,0.81129223,0.7917969,0.7750942,0.82645106,0.8247953,0.7713304,0.76295286,0.8068191,0.7999234,0.7968093,0.7968093,0.8067251,0.78930515,0.7920931,0.822082,0.81777275,0.78305876,0.7359612,0.76511294,0.7823859,0.7898648,0.7898648,0.7980302,0.79768056,0.80171686,0.7887143,0.78897274,0.7505205,0.739252,0.76856667,0.794948,0.79948205,0.79948205,0.7986909,0.7962431,0.8001319
140,2015-09-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,2015-09-15,0.8473662,0.8503012,0.8594889,0.8612171,0.856564,0.86081636,0.8625875,0.8576649,0.856225,0.8637503,0.8655282,0.8434301,0.86210936,0.8588257,0.8600295,0.8595784,0.850524,0.83583796,0.83773404,0.8515902,0.8649195,0.8716023,0.8187302,0.83873326,0.85769624,0.8556932,0.8652506,0.8544125,0.82782876,0.8246173,0.8512498,0.86885345,0.8743733,0.77714235,0.8486321,0.8675979,0.8591751,0.86251783,0.86616415,0.8542794,0.87067205,0.8800065,0.8806826,0.8806826,0.8388884,0.8614061,0.86485326,0.86262757,0.8621215,0.86892855,0.87348676,0.8739385,0.8820235,0.8820235,0.8820682,0.8565598,0.8745914,0.87472045,0.8690156,0.8701644,0.8738475,0.870357,0.86954355,0.8726451,0.8726451,0.87380546,0.86917156,0.87632483,0.8710731,0.86134434,0.8723889,0.871976,0.8713545,0.8665719,0.8665719,0.86793023,0.8626333,0.86624855,0.8783695,0.86241233,0.84392285,0.87408036,0.86942196,0.8707027,0.86248803,0.86248803,0.8591017,0.8545282,0.8759924,0.8769535,0.82857174,0.8173442,0.86631155,0.8627212,0.8611692,0.8611692,0.85643727,0.84998417,0.8580111,0.86808306,0.87350035,0.8184909,0.82443565,0.85275227,0.8464413,0.8488899,0.8488899,0.8532124,0.85585606,0.8568952,0.8445806,0.84076434,0.82843214,0.82200027,0.848332,0.84883225,0.85064834,0.85064834,0.84646755,0.8500763,0.85208666
142,2015-09-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,2015-09-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,2015-10-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,2015-10-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,2015-10-20,0.591244,0.59649056,0.6019042,0.6092397,0.6389527,0.5968118,0.50276047,0.5123723,0.5731441,0.59961945,0.6238267,0.64095944,0.64112955,0.64221406,0.6630852,0.71572775,0.57972026,0.51878,0.5676093,0.6130684,0.6217014,0.65571594,0.66721404,0.6877058,0.702868,0.7199228,0.72138846,0.6174874,0.5880264,0.61869174,0.6428429,0.6510433,0.6445873,0.68152547,0.71372324,0.76135546,0.74233544,0.7238981,0.6921471,0.6742118,0.65332514,0.6074999,0.5670345,0.5670345,0.70766944,0.7091104,0.7382281,0.7492208,0.73873293,0.6765733,0.68537104,0.6711977,0.6341143,0.6341143,0.4992915,0.621169,0.6217475,0.7363088,0.7085572,0.74097717,0.6972176,0.697226,0.65660506,0.5485573,0.5485573,0.45951653,0.6119633,0.6611561,0.7178827,0.68617177,0.65796113,0.67287135,0.6660615,0.52246773,0.52246773,0.41205212,0.39233765,0.6027349,0.64910144,0.64523506,0.57542187,0.5216754,0.5313926,0.5449234,0.42033163,0.42033163,0.35393998,0.31344894,0.5596066,0.579604,0.54503995,0.46481144,0.48448262,0.48571008,0.44687596,0.44687596,0.37204364,0.3166407,0.22247005,0.49450713,0.54768974,0.4930227,0.4346745,0.46867374,0.44516647,0.39793113,0.39793113,0.3466823,0.30663052,,0.5225006,0.50677085,0.43217313,0.38418147,0.36900857,0.33513856,0.28775385,0.28775385,,,
147,2015-10-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,2015-11-03,0.6683557,0.6543074,0.6687165,0.7089959,0.7183959,0.70144355,0.6962066,0.70146966,0.71992207,0.69098336,0.68406427,0.68844813,0.63803715,0.6556375,0.72374696,0.72180915,0.7096704,0.7171493,0.7277292,0.7174224,0.7286158,0.73623824,0.70327854,0.7133201,0.7147724,0.71805245,0.713527,0.73783916,0.72099346,0.7166408,0.7204902,0.73132384,0.74815845,0.7056748,0.7108152,0.7263451,0.70966756,0.7154476,0.7323393,0.7230813,0.7228019,0.730555,0.76283056,0.76283056,0.71068823,0.7050811,0.7227996,0.7267104,0.7187187,0.7530203,0.74398184,0.7539287,0.7540261,0.7540261,0.7636924,0.7098456,0.70422006,0.7040327,0.71912664,0.7156588,0.74247545,0.7435151,0.7552469,0.76852584,0.76852584,0.7543365,0.7200631,0.69088334,0.6896001,0.7195588,0.7530869,0.75139606,0.73887354,0.74508464,0.74508464,0.7481968,0.7474731,0.71560556,0.70613366,0.6826437,0.738045,0.7583056,0.75579095,0.7360881,0.66855323,0.66855323,0.66218585,0.71837175,0.6844143,0.665138,0.700005,0.73548794,0.79430234,0.7686527,0.7439345,0.7439345,0.6533448,0.6963677,0.72876984,0.68622506,0.662533,0.6396371,0.65945613,0.80452245,0.76420504,0.7048501,0.7048501,0.68234277,0.70117825,0.7246664,0.68710107,0.6862264,0.6253308,0.671868,0.75665784,0.7176686,0.69093156,0.69093156,0.6863211,0.69008714,0.6878133
149,2015-11-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,2015-11-17,0.5334907,0.62327915,0.6403043,0.71710104,0.7142196,0.71907717,0.7152284,0.7241126,0.7269661,0.68356824,0.68917537,0.6375365,0.7064307,0.7209251,0.72314733,0.7006801,0.744699,0.7320142,0.7338791,0.7200374,0.6889371,0.6692597,0.6300623,0.6612664,0.70329505,0.7230153,0.7011924,0.7310425,0.72294265,0.70211935,0.7052929,0.6667012,0.65807307,0.72971,0.74499166,0.748967,0.7334122,0.6855514,0.6827956,0.695891,0.68812215,0.6557359,0.6720923,0.6720923,0.77916235,0.7586262,0.77484447,0.7704004,0.7056246,0.70985323,0.66663843,0.6924988,0.68462354,0.68462354,0.65452933,0.7488803,0.7401231,0.7464035,0.75132364,0.70347995,0.6886455,0.6736757,0.6807474,0.6924122,0.6924122,0.67605436,0.7227933,0.6948965,0.7106656,0.732443,0.72061086,0.7057516,0.67955256,0.67515683,0.67515683,0.6892388,0.7110532,0.7017175,0.7076297,0.7065669,0.7322042,0.7405065,0.76532716,0.7618336,,,0.7342681,0.67051315,0.69634324,0.6986452,0.735343,,,,,,,,0.7056533,0.71860594,0.7136821,0.75637424,,,,,,,,0.8224626,0.63255864,0.6522831,0.678589,,,,,,,,
151,2015-11-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,2015-12-01,0.4971133,0.48055786,0.46801376,0.4853243,0.5546533,0.5624874,0.53864336,0.5202211,0.5503809,0.5756638,0.57076293,0.5273387,0.51306844,0.53368336,0.5405321,0.55184674,0.5841198,0.587716,0.58343107,0.5786064,0.5778256,0.5821806,0.5818271,0.5702927,0.5562452,0.56308836,0.56211746,0.57308215,0.5889296,0.5827476,0.5671479,0.5579153,0.5497243,0.60353065,0.5707355,0.554039,0.5546281,0.5627449,0.5589289,0.5654097,0.56089646,0.56276864,0.55964553,0.55964553,0.5883926,0.5555925,0.55719423,0.55541974,0.5414494,0.5527284,0.54377496,0.57064486,0.5695156,0.5695156,0.5538358,0.5628112,0.5543646,0.5590909,0.5485373,0.5412698,0.55527115,0.5553418,0.54607797,0.50681925,0.50681925,0.42392844,0.5689909,0.5561083,0.5562173,0.56049484,0.5596847,0.5652428,0.5148199,0.41981253,0.41981253,0.34426937,0.40437505,0.57506603,0.57568794,0.5470401,0.5763685,0.5616634,0.56924367,0.469684,0.35143438,0.35143438,0.34541065,0.41138923,0.5785604,0.58156455,0.545315,0.53829426,0.70058036,,0.7270914,0.7270914,0.5844656,0.46930084,0.49745047,0.5982273,0.5628934,0.4432333,0.4277314,0.6457422,0.7818294,0.706819,0.706819,0.72283405,0.61227673,0.61698234,0.5837337,0.5332488,0.4829131,0.47003928,0.5544512,0.57697994,0.6843533,0.6843533,0.70932245,0.760603,0.75066805
153,2015-12-08,0.4971133,0.48055786,0.46801376,0.4853243,0.5546533,0.5624874,0.53864336,0.5202211,0.5503809,0.5756638,0.57076293,0.5273387,0.51306844,0.53368336,0.5405321,0.55184674,0.5841198,0.587716,0.58343107,0.5786064,0.5778256,0.5821806,0.5818271,0.5702927,0.5562452,0.56308836,0.56211746,0.57308215,0.5889296,0.5827476,0.5671479,0.5579153,0.5497243,0.60353065,0.5707355,0.554039,0.5546281,0.5627449,0.5589289,0.5654097,0.56089646,0.56276864,0.55964553,0.55964553,0.5883926,0.5555925,0.55719423,0.55541974,0.5414494,0.5527284,0.54377496,0.57064486,0.5695156,0.5695156,0.5538358,0.5628112,0.5543646,0.5590909,0.5485373,0.5412698,0.55527115,0.5553418,0.54607797,0.50681925,0.50681925,0.42392844,0.5689909,0.5561083,0.5562173,0.56049484,0.5596847,0.5652428,0.5148199,0.41981253,0.41981253,0.34426937,0.40437505,0.57506603,0.57568794,0.5470401,0.5763685,0.5616634,0.56924367,0.469684,0.35143438,0.35143438,0.34541065,0.41138923,0.5785604,0.58156455,0.545315,0.53829426,0.70058036,,0.7270914,0.7270914,0.5844656,0.46930084,0.49745047,0.5982273,0.5628934,0.4432333,0.4277314,0.6457422,0.7818294,0.706819,0.706819,0.72283405,0.61227673,0.61698234,0.5837337,0.5332488,0.4829131,0.47003928,0.5544512,0.57697994,0.6843533,0.6843533,0.70932245,0.760603,0.75066805
154,2015-12-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,2015-12-22,0.48703134,0.42965862,0.48832467,0.50912684,0.5385151,0.5335886,0.5401755,0.51348406,0.5501576,0.5819752,0.5531622,0.52434856,0.4984582,0.5335323,0.54013026,0.5421202,0.5633159,0.58099705,0.53779215,0.5508414,0.54797435,0.54684556,0.5529695,0.54656875,0.5260989,0.5337152,0.53865916,0.53375643,0.5378503,0.546677,0.51699924,0.5108498,0.49944922,0.58697355,0.5401739,0.52608246,0.53048015,0.52120167,0.5084065,0.5293861,0.51164407,0.5218753,0.49815515,0.49815515,0.5644344,0.5221944,0.5129788,0.52040136,0.5045476,0.49938908,0.49833456,0.5223526,0.51527697,0.51527697,0.39367193,0.5264996,0.52888024,0.5122906,0.50890696,0.49931774,0.49566355,0.4963142,0.43464494,0.23970068,0.23970068,0.22139163,0.52885646,0.52509165,0.51116556,0.52840537,0.49287647,0.5020649,0.27436712,0.23346785,0.23346785,0.25606522,0.25872254,0.5355008,0.53800905,0.5044238,0.5051308,0.45387158,0.274749,0.23734885,0.20713578,0.20713578,0.25732458,0.32516223,0.54731613,0.54576826,0.4769047,0.33734646,0.30036741,0.30277315,0.3287204,0.3287204,0.321233,0.3686604,0.41072336,0.58874714,0.5427177,0.3373144,0.2803598,0.3618131,0.41524798,0.3801416,0.3801416,0.3656166,0.4343693,0.39171284,0.5886928,0.559809,0.40977645,0.42949665,0.41754717,0.44602603,0.36977863,0.36977863,0.36903724,0.39541182,0.3562176
156,2015-12-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,2016-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,2016-01-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,2016-01-19,0.46745917,0.49026257,0.50780064,0.5029353,0.52080977,0.53944725,0.5470834,0.49372333,0.53507715,0.5422889,0.554975,0.5411345,0.53486663,0.5267283,0.5164737,0.5163161,0.5298855,0.54491365,0.5438137,0.52919626,0.5169809,0.5200303,0.58205557,0.53466475,0.51225996,0.50380695,0.50167286,0.5046795,0.5092999,0.51099545,0.49934295,0.4808249,0.47022754,0.6136136,0.5188267,0.49270827,0.500364,0.4867875,0.47649986,0.4900126,0.487083,0.4972665,0.50685275,0.50685275,0.5513178,0.49638754,0.4879441,0.48669976,0.4678026,0.46398893,0.4680729,0.49335384,0.51531297,0.51531297,0.5273357,0.50123763,0.49342328,0.47890183,0.47870317,0.46185485,0.47593182,0.47545728,0.48628083,0.5058383,0.5058383,0.54584485,0.51375765,0.5024815,0.48319566,0.49050885,0.48116893,0.4972177,0.49022007,0.47707823,0.47707823,0.41326827,,0.51715183,0.52218294,0.5049034,0.49234402,0.5192313,0.5158513,0.5319646,0.12058466,0.12058466,,,0.5455629,0.55931854,0.54314864,0.5401846,0.49186993,0.67177385,,,,,,0.5931195,0.5936594,0.5428128,0.36788425,0.500265,0.6852693,,,,,,0.54922765,0.5918718,0.48432112,0.5167214,0.61031467,,,,,,
160,2016-01-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,2016-02-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,2016-02-09,0.0012922373,0.009515757,0.010006683,0.008712511,0.008128069,0.009116746,0.007906947,0.0056291125,0.006621231,0.0037340035,,0.008619478,0.014868081,0.011895572,0.009788758,0.009632968,0.0062804734,,0.007593225,0.0077061155,,,0.014671742,0.014819488,0.014186186,0.015092553,0.013552309,0.009638765,0.008379817,,0.007834869,0.0043809554,0.004971169,,0.019577317,0.02135181,0.021015504,0.019000994,0.013630476,0.014494675,0.017098702,0.013888006,0.010482351,0.010482351,0.018629199,0.022345923,0.022287725,0.024715941,0.027097,0.02363756,0.01913196,0.020464657,0.018037582,0.018037582,0.01777966,0.015197206,0.015256583,0.016507307,0.01614081,0.017505515,0.026218679,0.022873215,0.019819083,0.017620979,0.017620979,0.014033657,0.01620264,0.014361399,0.017142328,0.01495045,0.0059164586,0.012668635,0.014050188,0.012341683,0.012341683,0.009843703,0.005393258,0.015288756,0.009866513,0.00798699,0.013921112,,,0.008809895,0.0046756617,0.0046756617,0.0022747654,,0.011713259,,,0.006756531,,,,,,,,,,0.007098636,0.003622104,,,,,,,,,0.0075426297,0.0051848786,0.0040415023,,,,,,,
163,2016-02-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,2016-02-23,,,,,,,,0.002104609,0.011338838,0.023194058,0.032721344,,,,,,,,,0.013430199,0.028940378,0.03500407,,,,,,,,,0.017429175,0.031664662,0.03187869,,,,,,,,0.0065713185,0.019322393,0.036667317,0.036667317,,,,,,,0.0026851883,0.007840348,0.022551604,0.022551604,0.04721927,,,,,,0.0,0.0022548295,0.006667082,0.020231258,0.020231258,0.0502538,,,,,,0.0005468594,0.0055559557,0.011631645,0.011631645,0.022953013,0.049317732,,,,,,,,0.020204937,0.020204937,0.034744035,0.047289554,,,,,,,,,,,0.042195376,,,,0.00063604803,0.0019169895,,,,,,,,,,,,,,,,,0.038355317
165,2016-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,2016-03-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,2016-03-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
